Dotter;Dóttir
nes;nes
.;.
oc;og
gaf;gaf
hanum;honum
iarls;jarls
namn;nafn
.;.
oc;og
bað;bað
hann;hann
taca;taka
væizlr;veislur
oc;og
dꝍma;dæma
lannz;lands
logh;lög
.;.
oc;og
giallda;gjalda
Dana;Dana
kononge;konungi
af;af
skatta;skatti
.;.
Eftir;Eftir
þetta;þetta
for;fór
Haralldr;Haraldur
Gormssunr;Gormssonur
til;til
Danmarcar;Danmerkur
.;.
oc;og
skilduz;skildust
þæir;þeir
Hacon;Hákon
goðer;gáðir
vinir;vinir
.;.
Hacon;Hákon
iarll;jarl
hafðe;hafði
þa;þá
reket;rekið
harma;harma
sinna;sinna
.;.
þui;því
at;að
af;af
hans;hans
raðom;ráðum
var;var
drepenn;drapinn
Haralldr;Haraldur
Eirikssunr;Eiríkssonur
.;.
sem;sem
Æinar;Einar
skalaglam;skálaglam
sagðe;sagði
.;.
Hacon;Hákon
var;var
rikr;ríkur
oc;og
toc;tók
at;að
æfla;efla
blot;blót
með;með
mæiri;meiri
freko;frekju
en;en
fyrr;ffyrr
hafðe;hafði
veret;verið
.;.
þa;þá
batnaðe;batnaði
bratt;brátt
arfærð;árferð
.;.
oc;og
com;kom
aftr;aftur
korn;korn
oc;og
silld;síld
.;.
grere;gréri
iorðen;jörðin
með;með
blome;blómi
.;.
sva;svo
sem;sem
sægir;segir
Æinar;Einar
.;.
Ða;Þá
var;var
friðr;friður
goðr;góður
með;með
areno;árinu
sem;sem
ænn;enn
sægir;segir
Æinar;Einar
.;.
I;Í
annarre;annarri
drapo;drápu
sægir;segir
Æinar;Einar
a;á
þessa;þessa
lund;lund
.;.
Her;Hér
ma;má
hꝍyra;heyra
at;að
synir;synir
Æiriks;Eiríks
brutu;brutu
niðr;niður
bloten;blótin
.;.
en;en
Hacon;Hákon
hof;hóf
upp;upp
annat;annað
sinni;sinni
.;.
Ða;Þá
er;er
Hacon;Hákon
hafðe;hafði
æinn;einn
vætr;vetur
raðet;ráðið
firir;fyrir
Noregh;Noregi
.;.
kom;kom
Ragnfroðr;Ragnfröður
Eiriks;Eiríks
sunr;sonur
oc;og
bæiddiz;beiddist
rikis;ríkis
i;í
Norege;Noregi
.;.
i;í
mote;móti
hanum;honum
kom;kom
Hacon;Hákon
með;með
hær;her
oc;og
barðuz;börðust
þæir;þeir
sem;sem
Æinar;Einar
sægir;segir
.;.
Hacon;Hákon
hafðe;hafði
lið;lið
mæira;meira
oc;og
skip;skip
smærre;smærri
.;.
oc;og
firir;fyrir
þa;þá
sok;sök
let;lét
hann;hann
sigazt;sigast
at;að
lannde;landi
.;.
giek;gekk
upp;upp
af;af
skipum;skipum
.;.
oc;og
bauð;bauð
Ragnfroðe;Ragnfröði
at;að
bæriast;berjast
a;á
lannde;landi
við;við
sek;sig
.;.
en;en
hann;hann
villdi;vildi
æigi;eigi
.;.
oc;og
ræddiz;ræddist
lannz;lands
hærrenn;herinn
sem;sem
Æinar;Einar
sægir;segir
.;.
Skiliazk;Skiljast
at;að
sva;svo
bunu;búnu
oc;og
var;var
Ragnfroðr;Ragnfröður
um;um
vætrenn;veturinn
i;í
Sokne;Sokni
.;.
en;en
Hacon;Hákon
i;í
Þrondhæimi;Þrándheimi
.;.
Vm;Um
varet;vorið
æftir;eftir
bauð;bauð
Hacon;Hákon
ut;út
almenning;almenning
um;um
allan;allan
Þrondhæim;Þrándheim
oc;og
Hologa;Háloga
lannd;land
oc;og
um;um
oll;öll
fylki;fulki
firir;fyrir
norðan;norðan
Stað;Stað
.;.
oc;og
varð;varð
hann;hann
mioc;mjög
fiolmennr;fjölmennur
.;.
Sva;Svo
er;er
sagt;sagt
at;að
vii;sjö
tignir;tignir
menn;menn
fylgðu;fylgdu
hanum;honum
.;.
sva;svo
sem;sem
sægir;segir
Æinar;Einar
.;.
Ðæir;Þeir
como;komi
at;að
Gunilldar;Gunnhildar
sunum;sonum
inn;inn
i;í
Sokne;Sokni
oc;og
barðuzc;börðust
við;við
þa;þá
.;.
oc;og
hafðe;hafði
Hacon;Hákon
sigr;sigur
i;í
þæirri;þeirri
oc;og
drap;drap
af;af
sunum;sonum
Æiriks;Eiríks
ccc;þrjár hundruðir
manna;manna
sva;svo
sem;sem
her;hér
sægir;segir
.;.
Sva;Svo
mikit;mikið
var;var
mannfall;mannfall
at;að
her;hér
sægir;segir
at;að
iarlenn;jarlinn
genge;gengi
at;að
manna;manna
hofðum;höfðum
af;af
þessom;þessum
fyndi;fundi
.;.
Eftir;Eftir
þessa;þessa
orrastu;orrustu
flyðu;flýðu
synir;synir
Gunilldar;Gunnhildar
oc;og
hon;hún
með;með
þæim;þeim
væstr;vestur
um;um
haf;haf
a;á
Skotlannd;Skotlandi
.;.
oc;og
reð;réð
siðan;síðan
Hacon;Hákon
Norege;Noregi
.;.
æftir;eftir
þui;því
sem;sem
Dana;Dana
konongr;konungur
hafðe;hafði
hann;hann
til;til
sættan;settan
oc;og
var;var
þar;þar
mikil;mikil
vingan;vingan
þæira;þeirra
a;á
meðal;meðal
.;
