(Þ)ᴀ;Þá
þurftu;þurftu
at;að
roa;róa
.;.
skylldu;skyldu
laupa;hlaupa
aftr;aftur
a;á
hvarre;hvorri
tveggiu;tveggja
galeiðenne;galeiðinni
.;.
oc;og
hafa;hafa
hværr;hver
huðfat;húðfat
sitt;sitt
i;í
fange;fangi
.;.
oc;og
rænndu;renndu
sva;svo
galeiðarnar;galeiðirnar
upp;upp
a;á
iarnen;járnin
.;.
en;en
þegar;þegar
er;er
festi;festi
oc;og
af;af
toc;tók
skriðenn;skriðinn
bað;bað
hann;hann
þa;þá
laupa;hlaupa
fram;fram
i;í
.;.
þa;þá
stꝍyfti;steypti
galeiðenne;galeiðinni
fram;fram
af;af
iarnom;járnunum
þæirri;þeirri
er;er
Haralldr;Haraldur
var;var
a;á
.;.
en;en
su;sú
annr;önnur
er;er
hann;hann
var;var
eigi;eigi
a;á
.;.
sprakk;sprakk
er;er
reið;reið
a;á
iarnonom;járnunum
.;.
oc;og
tyndist;týndist
þar;þar
mart;margt
af;af
.;.
en;en
sumt;sumt
var;var
tækit;tekið
af;af
sunndi;sundi
.;.
með;með
þesso;þessu
komsk;komst
Haralldr;Haraldur
braut;braut
or;úr
Miklagarðe;Miklagarði
oc;og
for;fór
sva;svo
inn;inn
i;í
Svarta;Svart
haf;haf
.;.
oc;og
aðr;áður
en;en
hann;hann
sigldi;sigldi
i;í
hafet;hafði
setti;setti
hann;hann
upp;upp
a;á
land;land
ungu;ungu
fru;frú
Maʀiu;Maríu
oc;og
fecc;fékk
henni;henni
gott;gott
faru;föru
nꝍyti;neyti
aftr;aftur
til;til
Miklagarz;Miklagarðs
.;.
oc;og
bað;bað
hana;hana
segia;segja
Zoe;Zoe
drotningu;drottningu
at;að
Harallde;Haraldi
þotte;þótti
sem;sem
hon;hún
hæfði;hefði
litit;lítið
valld;vald
þa;þá
a;á
hanum;honum
.;.
eða;eða
hvart;hvort
er;er
hennar;hennar
riki;ríki
myndi;myndi
noccot;nokkuð
þa;þá
firir;fyrir
standa;standa
at;að
hann;hann
fenge;fengi
ungu;ungu
fru;frú
Maʀiu;Maríu
ef;ef
hann;hann
villdi;vildi
.;.
þa;þá
sigldi;sigldi
hann;hann
norðr;norður
i;í
Ellepallta;Ellipallta
.;.
for;fór
þaðan;þaðan
aftr;aftu
um;um
Austrriki;Audturríki
.;.
i;í
þessom;þessum
færðum;ferðum
orte;orti
Haralldr;Haraldur
gamanvisur;gamanvísur
oc;og
ero;eru
.xvi;sextán
.;
oc;og
eitt;eitt
niðrlag;niðurlag
at;að
allum;öllum
.;.
þesse;þessi
er;er
einn;ein
.;.
Þui;Því
veik;veik
hann;hann
til;til
Ellisifiar;Ellisifjar
dottor;dóttur
Iarizleifs;Jarisleifs
konongs;konungs
.;.
Haralldr;Haraldur
for;fór
til;til
Holmgarðs;Hólmgarðs
a;á
fund;fund
Iarizleifs;Jarisleifs
konongs;konungs
oc;og
fecc;fékk
þar;þar
goðar;góðar
viðtacr;viðtökur
.;.
toc;tók
þa;þá
til;til
sin;sín
gullet;gullið
mikla;mikla
er;er
hann;hann
hafðe;hafði
aðr;áður
sennt;sent
firir;fyrir
ser;sér
utan;utan
or;úr
Miklagarðe;Miklagarði
.;.
aðr;áður
en;en
Haralldr;Haraldur
fꝍre;færi
or;úr
Garðum;Görðum
austan;austan
.;.
gifti;gifti
Iarizleifr;Jarisleifur
hanum;honum
dottor;dóttur
sina;sína
.;.
er;er
het;hét
Elizabeth;Elísabet
.;.
en;en
Norðmenn;Norðmenn
callaðu;kölluðu
Ellisif;Ellisif
.;.
Ðat;Þða
sægir;segir
Stufur;Stúfur
hinn;hinn
blinndi;blindi
.;.
oc;og
funnuz;funndust
þæir;þeir
þa;þá
Svæinn;Sveinn
Ulfs;Úlfs
sunr;sonur
oc;og
Haralldr;Haraldur
.;.
þeir;þeir
varo;voru
magar;mágar
.;.
þui;því
at;að
Ellisif;Ellisif
er;er
Haʀalldr;Haraldur
atte;átti
var;var
dotter;dóttir
Ingigierðar;Ingigerðar
Olafsdottor;Ólafsdóttur
hins;hins
svænska;sænska
.;.
hans;hans
systir;systir
var;var
Aztrið;Ástríður
moðer;móðir
Sveins;Sveins
Ulfssonar;Úlfssonar
.;.
Litlu;Litlu
aðr;áður
hafðe;hafði
Svæinn;Sveinn
flyit;flúið
af;af
Danmorc;Danmörku
firir;fyrir
Magnusi;Magnúsi
kononge;konungi
.;.
þa;þá
bæiddiz;beiddist
Svæinn;Sveinn
sambanz;sambands
við;við
Haʀalld;Harald
um;um
vanðræðe;vandræði
þæirra;þeirra
Magnus;Magnúsar
konongs;konungs
.;.
oc;og
teðe;téði
hanum;honum
at;að
Magnus;Magnús
konongr;konungur
sat;sat
ifir;yfir
hvarstvæggia;hvors tveggja
þeirra;þeirra
riki;ríki
.;.
Haʀalldr;Haraldur
svaraðe;svaraði
a;á
þa;þá
lunnd;lund
at;að
eigi;eigi
villdi;vildi
hann;hann
synia;synja
Svæini;Sveini
sinnar;sinnar
vinatto;vináttu
.;.
en;en
þo;þó
vil;vil
ec;ég
fyrr;fyrr
hitta;hitta
Magnus;Magnús
konong;konung
frenda;frænda
minn;minn
en;en
ovingast;óvingast
við;við
hann;hann
.;.
eða;eða
hylla;hylla
sik;sig
fiandmannum;fjandmönnum
hans;hans
.;.
for;fór
Haralldr;Haraldur
þa;þá
til;til
Danmarcar;Danmerkur
sem;sem
her;hér
sægir;segir
.;
