Ða;Þá
.;.
um;um
haustet;haustið
æftir;eftir
for;fór
Skofte;Skopti
milli;milli
bua;búa
sinna;sinna
a;á
skutu;skútu
æinni;einni
.;.
þat;það
spurði;spurði
Æirikr;Eiríkur
oc;og
skipaðe;skipaði
hann;hann
annat;annað
skip;skip
iammikit;jafnmikið
sva;svo
oc;og
lagðe;lagði
til;til
funndar;fundar
við;við
Skofta;Skopta
oc;og
drap;drap
hann;hann
oc;og
alla;alla
skipsogn;skipsögn
hans;hans
.;.
sva;svo
sem;sem
sægir;segir
i;í
kvæðe;kvæði
þui;því
er;er
orte;orti
Ꝍyiulfr;Eyjólfur
daðascalld;daðaskáld
um;um
Eirik;Eirík
.;.
Þetta;Þetta
er;er
talet;talið
hit;hið
fyrsta;fyrsta
frama;frama
værk;verk
Eiriks;Eiríks
i;í
hans;hans
sagu;sögu
.;.
Hacon;Hákon
iarl;jarl
oc;og
Eirikr;Eiríkur
iarl;jarl
varo;voru
iamnan;jafnan
siðan;síðan
usatter;ósáttir
.;.
Æftir;Eftir
Iomsvikinga;Jómsvíkinga
orrastu;orrustu
þottez;þóttist
Hacon;Hákon
iarl;jarl
fullcomen;fullkominn
til;til
rikis;ríkis
er;er
hann;hann
hafðe;hafði
sva;svo
mikla;mikla
hofðingia;höfðingja
sigrat;sigrað
.;.
oc;og
þottezk;þóttist
hann;hann
ækki;ekki
þurfa;þurfa
þa;þá
at;að
ræðaz;hræðast
Dane;Dani
um;um
sitt;sitt
riki;ríki
.;.
þa;þá
toc;tók
hann;hann
at;að
harðna;harðna
við;við
lannzmenn;landsmenn
sina;sína
.;.
oc;og
gierðez;gerðist
fegiarn;fégjarn
oc;og
rꝍkte;rækti
ækki;ekki
logen;lögin
.;.
en;en
mest;mest
var;var
at;að
þui;því
at;að
hann;hann
var;var
osiðar;ósiðar
maðr;maður
um;um
konor;konur
.;.
oc;og
þar;þar
æftir;eftir
gierðo;gerðu
menn;menn
hans;hans
.;.
oc;og
var;var
hvarke;hvorki
þyrmt;þyrmt
frend;frænd
conom;konum
rikis;ríkis
manna;manna
.;.
ne;né
æigin;eigin
konom;konum
bæðe;bæðir
rikra;ríkra
oc;og
orikra;óríkra
.;.
þa;þá
gerðest;gerðist
mikit;mikið
orð;orð
a;á
uvinsælld;óvinsældir
iarlsens;jarlsins
oc;og
hans;hans
liðs;liðs
.;.
oc;og
sagðu;sögðu
bꝍnndr;bændur
sem;sem
rꝍynndist;reyndist
at;að
þæir;þeir
myndu;myndu
æigi;eigi
þola;þola
sva;svo
buit;búið
.;.
oc;og
æinum;einum
vætri;vetri
æftir;eftir
Iomsvikinga;Jómsvíkinga
orrostu;orrustu
gierðo;gerðu
bꝍndr;bændur
lið;lið
at;að
Hacone;Hákoni
iarle;jarli
oc;og
hans;hans
mannum;mönnum
.;.
þa;þá
var;var
hann;hann
staddr;staddur
i;í
Gaulardale;Gaulardali
a;á
bꝍ;bæ
þæim;þeim
er;er
Rimol;Rímull
hæitir;heitir
oc;og
var;var
þar;þar
drepenn;drepinn
af;af
skosvæini;skósveini
sinum;sínum
er;er
het;hét
Skofte;Skopti
karkr;karkur
.;.
Erlendr;Erlendur
sunr;sonur
Haconar;Hákonar
iarls;jarls
var;var
drepenn;drepinn
a;á
sundi;sundi
þa;þá
er;er
hann;hann
liop;hljóp
firir;fyrir
borð;borð
.;.
með;með
hialmur;hjálmur
vele;vél
.;.
en;en
aðrer;aðrir
brꝍðr;bræður
hans;hans
stukku;stukku
or;úr
lannde;landi
.;.
Eirikr;Eiríkur
sꝍker;sækir
austr;austur
i;í
Svia;Svía
riki;ríki
a;á
funnd;fund
Olafs;Ólafs
Svia;Svía
konongs;konungs
.;.
oc;og
var;var
þar;þar
i;í
goðo;góðu
ivir;yfir
læte;læti
langa;langa
rið;hríð
.;.
oc;og
hæriaðe;herjaði
viða;víða
um;um
austr;austur
vego;veg
.;.
sem;sem
sægir;segir
Þorðr;Þórður
Kolbæins;Kolbeins
sunr;sonur
.;
